iter	Passed	Remaining
385	96567	31271
386	96722	30991
387	96841	30699
388	96968	30411
389	97093	30123
390	97198	29830
391	97344	29551
392	97491	29272
393	97615	28987
394	97814	28725
395	97991	28456
396	98117	28174
397	98232	27890
398	98313	27596
399	98463	27323
400	98579	27041
401	98693	26760
402	98861	26493
403	99047	26232
404	99228	25970
405	99421	25712
406	99594	25449
407	99739	25179
408	99848	24901
409	99952	24622
410	100085	24351
411	100259	24091
412	100387	23820
413	100517	23551
414	101828	23555
415	102991	23519
416	105632	23811
417	107003	23806
418	107093	23514
419	107299	23248
420	107370	22953
421	107515	22675
422	107613	22387
423	107796	22118
424	108066	21867
425	108198	21588
426	108419	21328
427	108579	21056
428	108692	20775
429	108856	20505
430	109012	20234
431	109097	19950
432	109300	19689
433	109397	19409
434	109499	19130
435	109648	18861
436	109751	18584
437	109857	18309
438	110030	18045
439	110229	17787
440	110367	17518
441	110503	17250
442	110630	16981
443	110757	16713
444	110903	16448
445	111136	16197
446	111338	15941
447	111624	15697
448	111782	15435
449	111956	15176
450	112193	14925
451	112436	14676
452	112612	14418
453	112787	14160
454	112914	13897
455	113020	13631
456	113169	13372
457	113352	13117
458	113522	12860
459	113848	12622
460	114013	12365
461	114156	12107
462	114366	11856
463	114463	11594
464	114833	11359
465	115075	11112
466	115286	10862
467	115460	10608
468	115641	10355
469	115749	10097
470	116151	9864
471	117774	9731
472	119715	9617
473	121092	9452
474	121961	9243
475	122136	8980
476	122227	8712
477	122318	8444
478	122481	8182
479	122604	7918
480	122817	7660
481	122960	7398
482	123067	7134
483	123265	6876
484	123421	6616
485	123522	6354
486	123690	6095
487	123875	5838
488	124035	5580
489	124137	5320
490	124254	5061
491	124461	4806
492	124589	4548
493	124725	4292
494	124861	4035
495	125033	3781
496	125167	3525
497	125361	3272
498	125527	3018
499	125643	2764
500	125729	2509
501	125880	2256
502	126018	2004
503	126181	1752
504	126301	1500
505	126443	1249
506	126523	998
507	126606	747
508	126733	497
509	126854	248
510	126993	0
